Country,FirstPeakHeight,Maximum,DayOfFirstPeak,DayOfMaximum,DayOfFirstCase,TotalCases,MaxOverTotal,DaysFromFirstCaseToFirstPeak,DaysFromFirstCaseToMax,SecondPeak
Jamaica,-0.315288612,-0.312161975,-0.671220108,-0.841356382,0.402126585,-0.247952377,-0.008596999,-0.912024742,-1.070036274,0
Japan,-0.140128469,-0.146019989,-0.614743068,-0.786649008,-2.025178574,-0.167379254,-0.231164303,0.460771046,0.246035979,0
Jordan,-0.317183943,-0.313959725,-1.235990513,-1.388430121,-0.029394332,-0.246071205,-0.664788132,-1.262525794,-1.406054721,1
Kazakhstan,-0.181036023,-0.184821409,1.164283709,0.936633269,0.510006814,-0.160243314,-0.524937047,0.928105783,0.694060576,0
Kenya,-0.279593218,-0.278304366,1.390191871,1.155462765,0.510006814,-0.225070003,-0.467445847,1.161773151,0.918072875,0
"Korea, South",-0.189091178,-0.192461843,-1.88547648,-2.017564921,-2.133058803,-0.194225046,-0.149113017,-0.795191058,-0.958030125,0
Kosovo,-0.215625808,-0.217630331,1.24899927,1.01869433,1.211228304,-0.2413437,3.984851729,0.636021572,0.414045203,0
Kuwait,-0.154027561,-0.159203483,0.288889581,0.088668974,-0.460915249,-0.052681412,-0.862052575,0.548396309,0.330040591,0
Kyrgyzstan,-0.264272628,-0.26377256,1.22076075,0.991340643,0.779707387,-0.230869909,0.120294187,0.84048052,0.610055964,0
Latvia,-0.315920389,-0.312761225,-1.066559392,-1.224308,-0.083334447,-0.246053332,-0.547321312,-1.058066847,-1.21004396,0
Lebanon,-0.313551226,-0.310514039,0.345366621,0.143376348,-0.622735593,-0.243354454,-0.654024397,0.694438414,0.470048278,1
Liberia,-0.32081666,-0.313210662,-0.86888975,1.155462765,0.671827158,-0.247778111,-0.23590267,-1.262525794,0.834068263,1
Libya,-0.311497951,-0.308566477,0.853659986,0.635742713,1.103348075,-0.247787048,0.477841899,0.28552052,0.078026756,0
Lithuania,-0.309286732,-0.306469103,-0.586504547,-0.759295321,-0.245154791,-0.242465254,-0.482724528,-0.473898427,-0.650013214,0
